kd_supplier,kd_barang,gudang,qty
SARAN08,AACCO03,Gdg. Induk,1
WIDJA01,AACCU01,Gdg. Induk,1
ADVAN01,AAFON01,Gdg. Induk,188
CHEIL01,AAMIB01,Gdg. Induk,335
CHEIL01,AAMIB02,Gdg. Induk,265
CHEIL01,AAMIB03,Gdg. Induk,185
CHEIL01,AAMIB05,Gdg. Induk,2
TRIMA01,AAMIC01,Gdg. Induk,11
AGROG01,AAMIN04,Gdg. Induk,4
SYNGE01,AAMIS01,Gdg. Induk,9
ADVAN01,AAMOL01,Gdg. Induk,70
MITRA26,AARIZ01,Gdg. Induk,2
ARTHA01,AARIZ03,Gdg. Induk,5
AGRON01,AARMA01,Gdg. Induk,7
MITRA09,AARME01,Gdg. Induk,47
LTS 01,AASAM01,Gdg. Induk,7
MITOK01,AATON05,Gdg. Induk,35
,ABAFI02,Gdg. Induk,2
BEHNM01,ABASF01,Gdg. Induk,10
BERB01,ABASR01,Gdg. Induk,50
WIDJA01,ABAUT01,Gdg. Induk,100
GOLDE01,ABAUT02,Gdg. Induk,18
GOLDE01,ABAUT03,Gdg. Induk,6
WIDJA01,ABELT02,Gdg. Induk,9
WIDJA01,ABENT04,Gdg. Induk,8
ARTHA01,ABETT02,Gdg. Induk,15
SARAN04,ABION10,Gdg. Induk,99
MAJUM01,ABION11,Gdg. Induk,2
BIOWO01,ABIOS03,Gdg. Induk,10
WIDJA01,ABLAC01,Gdg. Induk,83
LESTA01,ABORO01,Gdg. Induk,1814
ARTHA05,ABORO02,Gdg. Induk,4
MITRA09,ABOTO01,Gdg. Induk,1100
MITRA09,ABOTO02,Gdg. Induk,2219
MITRA09,ABOTO03,Gdg. Induk,200
MITRA09,ABOTO04,Gdg. Induk,600
MITRA01,ABRAS02,Gdg. Induk,8
MITRA01,ABRAS03,Gdg. Induk,2
LAKAB01,ACALC02,Gdg. Induk,4
ARTHA05,ACALS01,Gdg. Induk,4
EXCEL01,ACHAR03,Gdg. Induk,1
DELIS01,ACOBR04,Gdg. Induk,22
ARTHA05,ACUPR02,Gdg. Induk,4
BAYER01,ADECI03,Gdg. Induk,2
MITRA09,ADESA01,Gdg. Induk,663
MITRA09,ADESA02,Gdg. Induk,178
MITRA25,ADEWA01,Gdg. Induk,3
WIDJA01,ADINA01,Gdg. Induk,4
ALISH01,ADINA02,Gdg. Induk,1
PETRO02,ADONE01,Gdg. Induk,15
WIDJA01,ADOUB01,Gdg. Induk,60
TANAM01,ADURU01,Gdg. Induk,89
MITRA09,AELAZ02,Gdg. Induk,749
SONGG03,AEM-401,Gdg. Induk,2
EXCEL01,AEMAC03,Gdg. Induk,2
DELIS01,AEMAP01,Gdg. Induk,194
DELIS01,AEMAP06,Gdg. Induk,21
DELIS01,AEMPO01,Gdg. Induk,1
ASIAN01,AEMPR07,Gdg. Induk,40
WIDJA01,AFAN01,Gdg. Induk,25
SYNGE01,AFILI01,Gdg. Induk,16
MITRA25,AFORT01,Gdg. Induk,5
KRIST01,AGAJA02,Gdg. Induk,40
SARAN04,AGAME01,Gdg. Induk,42
MITRA09,AGARD01,Gdg. Induk,1191
,AGIBR01,Gdg. Induk,40
TIGAM01,AGRAN01,Gdg. Induk,733
UTOMO01,AGUNT01,Gdg. Induk,16
UTOMO01,AGUNT02,Gdg. Induk,51
STARM01,AHAND03,Gdg. Induk,2
MITRA25,AHIJA01,Gdg. Induk,4
INDOF01,AHIPR01,Gdg. Induk,8
PILAR02,AIABA01,Gdg. Induk,3
PILAR02,AILUT01,Gdg. Induk,4
,AIMUN01,Gdg. Induk,8
,AINAR01,Gdg. Induk,0
INTER01,AINTE02,Gdg. Induk,10
PILAR02,AISAD01,Gdg. Induk,3
BISII01,AJAGU67,Gdg. Induk,224
,AJAGU76,Gdg. Induk,0
WIDJA01,AJET 01,Gdg. Induk,8
SYNER01,AKANT01,Gdg. Induk,1
SYNER01,AKANT02,Gdg. Induk,1
SYNER01,AKANT03,Gdg. Induk,1
SYNER01,AKANT04,Gdg. Induk,1
SYNER01,AKANT05,Gdg. Induk,1
SYNER01,AKANT06,Gdg. Induk,2
STARM01,AKLEP01,Gdg. Induk,78
STARM01,AKLEP02,Gdg. Induk,100
IMTAS01,AKONE01,Gdg. Induk,40
STARM01,AKRAN02,Gdg. Induk,110
SYNER01,AKRES05,Gdg. Induk,1
SYNER01,AKRES06,Gdg. Induk,1
MITRA25,ALABA01,Gdg. Induk,6
MITRA25,ALABA02,Gdg. Induk,5
MITRA09,ALABE01,Gdg. Induk,1100
MITRA09,ALABE02,Gdg. Induk,210
MITRA09,ALABE03,Gdg. Induk,600
AGROI01,ALIDI03,Gdg. Induk,177
ARTHA05,AMAGS01,Gdg. Induk,4
MITRA25,AMANO02,Gdg. Induk,4
SINAR01,AMETA06,Gdg. Induk,49
MITRA01,AMETS01,Gdg. Induk,4
ARTHA05,AMICR02,Gdg. Induk,4
LAKAB01,AMIKO01,Gdg. Induk,4
ARTHA01,AMONT01,Gdg. Induk,9
JAVAK01,AMULS100,Gdg. Induk,2
,AMULS102,Gdg. Induk,1
JAVAK01,AMULS36,Gdg. Induk,1
MURNI01,AMULS37,Gdg. Induk,1
MURNI01,AMULS38,Gdg. Induk,1
MURNI01,AMULS39,Gdg. Induk,1
MURNI01,AMULS40,Gdg. Induk,1
MURNI01,AMULS41,Gdg. Induk,1
MURNI01,AMULS42,Gdg. Induk,1
MURNI01,AMULS43,Gdg. Induk,1
MURNI01,AMULS44,Gdg. Induk,1
MURNI01,AMULS45,Gdg. Induk,1
KARUN03,AMULS48,Gdg. Induk,1
KARUN03,AMULS49,Gdg. Induk,1
KARUN03,AMULS51,Gdg. Induk,1
KARUN03,AMULS52,Gdg. Induk,2
KARUN03,AMULS53,Gdg. Induk,2
JAVAK01,AMULS56,Gdg. Induk,5
JAVAK01,AMULS57,Gdg. Induk,4
JAVAK01,AMULS59,Gdg. Induk,1
JAVAK01,AMULS62,Gdg. Induk,1
JAVAK01,AMULS63,Gdg. Induk,1
,AMULS64,Gdg. Induk,1
,AMULS65,Gdg. Induk,1
,AMULS99,Gdg. Induk,1
UPLIN01,ANEOR01,Gdg. Induk,2
ARTHA01,ANEWN01,Gdg. Induk,1
STARM01,ANOZZ02,Gdg. Induk,15
NUSAP01,ANPKS01,Gdg. Induk,30
NUSAP01,ANPKS02,Gdg. Induk,50
NUSAP01,ANPKS03,Gdg. Induk,2
NUSAP01,ANPKS06,Gdg. Induk,3
,APADI40,Gdg. Induk,95
NONAM01,APENT01,Gdg. Induk,74
CENTA01,APENT02,Gdg. Induk,80
NONAM01,APENT03,Gdg. Induk,48
ARTHA01,APHEN01,Gdg. Induk,3
STARM01,APIPA01,Gdg. Induk,80
STARM01,APIPA03,Gdg. Induk,3
MITRA09,APIRA02,Gdg. Induk,36
MITRA09,APIRA03,Gdg. Induk,0
JAWAA01,APIRI05,Gdg. Induk,5
SYNGE01,APLEN02,Gdg. Induk,1
JAVAK01,APOLY26,Gdg. Induk,16
SYNER01,APOLY31,Gdg. Induk,2
SYNER01,APOLY32,Gdg. Induk,2
SYNER01,APOLY33,Gdg. Induk,2
SYNER01,APOLY34,Gdg. Induk,1
SYNER01,APOLY35,Gdg. Induk,1
SYNER01,APOLY36,Gdg. Induk,1
SYNER01,APOLY37,Gdg. Induk,1
SYNER01,APOLY38,Gdg. Induk,1
SYNER01,APOLY39,Gdg. Induk,1
NONAM01,APOMP02,Gdg. Induk,4
STARM01,APOTT06,Gdg. Induk,1
STARM01,APOTT07,Gdg. Induk,1
STARM01,APOTT08,Gdg. Induk,1
STARM01,APOTT09,Gdg. Induk,1
STARM01,APOTT10,Gdg. Induk,1
STARM01,APOTT11,Gdg. Induk,1
STARM01,APOTT12,Gdg. Induk,1
WIDJA01,APOWE02,Gdg. Induk,15
TIGAM01,APROM02,Gdg. Induk,108
TIGAM01,APROM03,Gdg. Induk,159
WIDJA01,APUMP01,Gdg. Induk,10
