nm_suplier,nm_barang,satuan,qty,dimensi
"Excel Meg Indo, PT",Abacell 18 EC 10 X 1 ltr,Btl,2466,10
"Excel Meg Indo, PT",Abacell 18 EC 20 X 500 ml,Btl,1070,20
"Excel Meg Indo, PT",Abacell 18 EC 40 X 250 ml,Btl,580,40
"Excel Meg Indo, PT",Abacell 18 EC 50 X 100 ml,Btl,4965,50
"Artha Buana Mandiri/Graha Niaga Mandiri, CV",Abacyper 30/125 EC 48 X 100 ml,Btl,0,48
"Advansia Indotani, PT",Abado 50 WP 20 X 20 X 10 gr*,Pack,4657,400
"Advansia Indotani, PT",Abado 50 WP 20 X 6 X 40 gr*,Pack,1194,120
"Advansia Indotani, PT",Abenz 22 EC 100 X 100 ml,Btl,964,100
"Advansia Indotani, PT",Abenz 22 EC 40 X 250 ml,Btl,3845,40
"Advansia Indotani, PT",Abojo 60 WP 10 X 20 X 50 gr,Pack,0,200
"Advansia Indotani, PT",Abojo 60 WP 100 X 100 gr,Pack,17271,100
"Corteva Agriscience Indonesia, PT",Acapela System 280 SC 50 X 100 ml,Btl,20650,50
"Sarana Tani Indonesia Makmur, PT",Accora 100 EC 15 X 1 ltr (Sample),Btl,1,15
"Sarana Tani Indonesia Makmur, PT",Accora 100 EC 15 X 1 ltr*,Btl,1,15
"Sarana Tani Indonesia Makmur, PT",Accora 100 EC 20 X 500 ml*,Btl,115,20
"Benih Berkah Berseri, PT",Accora 100 EC 20 X 500 ml*,Btl,0,20
"Imta Sukses Abadi, PT",Accu Isatech Isa 8-12,Pcs,3,1
"Widjaya, UD",Accu Kayaba Kering 12A - 12 Volt,Pcs,1,1
"Imta Sukses Abadi, PT",Accu Sprayer Elektrik 5L 12V 1.3A,Pcs,73,1
"Sinar General Industries, PT",Ace One 75 SP 25 X 400 gr*,Pack,2033,25
"Sinar General Industries, PT",Ace One 75 SP 50 X 100 gr*,Pack,1638,50
"Advansia Indotani, PT",Achlor 4/36 WP 60 X 100 gr,Pack,120,60
"Asiana Chemicalindo Lestari, PT",ACL 6 865 SL 25 X 400 ml*,Btl,261,25
"Asiana Chemicalindo Lestari, PT",ACL 6 865 SL 50 X 200 ml*,Btl,562,50
"BASF Indonesia, PT",Acrobat WP 20 X 6 X 40 gr,Pack,46196,120
"Agro Natural Technology, PT",Actigrow 12 X 1 ltr*,Btl,984,12
"Agro Natural Technology, PT",Actigrow 20 X 500 ml*,Btl,1860,20
"Bayer Indonesia, PT",Adengo SC465 100 X 100 ml,Btl,0,100
"Advansia Indotani, PT",Adoca 150 SC 100 X 100 ml*,Btl,0,100
"Advansia Indotani, PT",Adoca 150 SC 40 X 250 ml*,Btl,0,40
"Bioworld Biosciencen ML, PT",Adrift 125 EC 40 X 250 ml,Btl,190,40
"Bioworld Biosciencen ML, PT",Adrift 125 EC 50 X 100 ml,Btl,52,50
"Advansia Indotani, PT",Afonil 50 SC 100 X 100 ml,Btl,1684,100
"Advansia Indotani, PT",Afonil 50 SC 100 X 50 ml,Btl,2165,100
"Advansia Indotani, PT",Afonil 50 SC 20 X 500 ml,Btl,133,20
"Advansia Indotani, PT",Afonil 50 SC 40 X 250 ml,Btl,628,40
"Agro Guna Makmur, PT",Agapro 214/66 SL 40 X 200 ml*,Btl,480,40
"Agro Guna Makmur, PT",Agapro 214/66 SL 50 X 80 ml*,Btl,500,50
"Royal Agro Indonesia, PT",Agil 100 EC 100 X 100 ml,Btl,0,100
"Royal Agro Indonesia, PT",Agil 100 EC 40 X 250 ml,Btl,0,40
"Bayer Indonesia, PT",Agridex 715 EC 12 X 1 ltr,Btl,2058,12
"Syngenta Indonesia, PT",Agrimec 18 EC 100 X 50 ml,Btl,0,100
"Syngenta Indonesia, PT",Agrimec 18 EC 40 X 250 ml,Btl,13885,40
"Syngenta Indonesia, PT",Agrimec 18 EC 50 X 100 ml,Btl,0,50
"Agriculture Constraction Indonesia, PT",Agrimore K 500 gr (Sample),Pack,0,1
"Agriculture Constraction Indonesia, PT",Agrimore P 500 gr (Sample),Pack,0,1
"Bayer Indonesia, PT",Agristik 400 L 12 X 1 ltr,Btl,569,12
"Global Agrotech, PT",Agrogib 40 SL 30 X 15 X 35 ml,Btl,29663,450
sarana promosi,Agromil 710 EC 20 X 1 ltr,Btl,0,20
"Advansia Indotani, PT",Agus 500 SC 100 X 100 ml*,Btl,14308,100
"Advansia Indotani, PT",Agus 500 SC 40 X 250 ml*,Btl,10998,40
"Sinergi Chem Indonesia, PT",Agxanazol 200/150 SC 20 X 250 ml*,Btl,3225,20
"Sinergi Chem Indonesia, PT",Agxanazol 200/150 SC 50 X 100 ml*,Btl,2214,50
"Advansia Indotani, PT",Ajin 70 WP 20 X 20 X 25 gr*,Pack,0,400
"Advansia Indotani, PT",Akalis 550 SC 10 X 1 ltr,Btl,283,10
"Advansia Indotani, PT",Akalis 550 SC 20 X 500 ml,Btl,2167,20
"Advansia Indotani, PT",Akalis 550 SC 40 X 250 ml,Btl,1648,40
"Maju Makmur Utomo, PT",Akrostar 40 WP 100 X 100 gr*,Pack,727,100
"Maju Makmur Utomo, PT",Akrostar 40 WP 100 X 5 gr*,Pack,800,100
"Maju Makmur Utomo, PT",Akrostar 40 WP 50 X 20 gr (Sample),Pack,0,50
"Maju Makmur Utomo, PT",Akrostar 40 WP 60 X 40 gr*,Pack,590,60
"Asia Gala Kimia, PT",Alamo 350 SC 20 X 500 ml*,Btl,0,20
"Asia Gala Kimia, PT",Alamo 350 SC 48 X 100 ml*,Btl,0,48
