nm_suplier,nm_barang,satuan,qty,dimensi
 PT.Excel Meg Indo,Abacell 18 EC 10 X 1 ltr,Btl,2466,10
 PT.Excel Meg Indo,Abacell 18 EC 20 X 500 ml,Btl,1070,20
 PT.Excel Meg Indo,Abacell 18 EC 40 X 250 ml,Btl,580,40
 PT.Excel Meg Indo,Abacell 18 EC 50 X 100 ml,Btl,4965,50
 CV.Artha Buana Mandiri/Graha Niaga Mandiri,Abacyper 30/125 EC 48 X 100 ml,Btl,0,48
 PT.Advansia Indotani,Abado 50 WP 20 X 20 X 10 gr*,Pack,4657,400
 PT.Advansia Indotani,Abado 50 WP 20 X 6 X 40 gr*,Pack,1194,120
 PT.Advansia Indotani,Abenz 22 EC 100 X 100 ml,Btl,964,100
 PT.Advansia Indotani,Abenz 22 EC 40 X 250 ml,Btl,3845,40
 PT.Advansia Indotani,Abojo 60 WP 10 X 20 X 50 gr,Pack,0,200
 PT.Advansia Indotani,Abojo 60 WP 100 X 100 gr,Pack,17271,100
 PT.Corteva Agriscience Indonesia,Acapela System 280 SC 50 X 100 ml,Btl,20650,50
 PT.Sarana Tani Indonesia Makmur,Accora 100 EC 15 X 1 ltr (Sample),Btl,1,15
 PT.Sarana Tani Indonesia Makmur,Accora 100 EC 15 X 1 ltr*,Btl,1,15
 PT.Sarana Tani Indonesia Makmur,Accora 100 EC 20 X 500 ml*,Btl,115,20
 PT.Benih Berkah Berseri,Accora 100 EC 20 X 500 ml*,Btl,0,20
 PT.Imta Sukses Abadi,Accu Isatech Isa 8-12,Pcs,3,1
 UD.Widjaya,Accu Kayaba Kering 12A - 12 Volt,Pcs,1,1
 PT.Imta Sukses Abadi,Accu Sprayer Elektrik 5L 12V 1.3A,Pcs,73,1
 PT.Sinar General Industries,Ace One 75 SP 25 X 400 gr*,Pack,2033,25
 PT.Sinar General Industries,Ace One 75 SP 50 X 100 gr*,Pack,1638,50
 PT.Advansia Indotani,Achlor 4/36 WP 60 X 100 gr,Pack,120,60
 PT.Asiana Chemicalindo Lestari,ACL 6 865 SL 25 X 400 ml*,Btl,261,25
 PT.Asiana Chemicalindo Lestari,ACL 6 865 SL 50 X 200 ml*,Btl,562,50
 PT.BASF Indonesia,Acrobat WP 20 X 6 X 40 gr,Pack,46196,120
 PT.Agro Natural Technology,Actigrow 12 X 1 ltr*,Btl,984,12
 PT.Agro Natural Technology,Actigrow 20 X 500 ml*,Btl,1860,20
 PT.Bayer Indonesia,Adengo SC465 100 X 100 ml,Btl,0,100
 PT.Advansia Indotani,Adoca 150 SC 100 X 100 ml*,Btl,0,100
 PT.Advansia Indotani,Adoca 150 SC 40 X 250 ml*,Btl,0,40
 PT.Bioworld Biosciencen ML,Adrift 125 EC 40 X 250 ml,Btl,190,40
 PT.Bioworld Biosciencen ML,Adrift 125 EC 50 X 100 ml,Btl,52,50
 PT.Advansia Indotani,Afonil 50 SC 100 X 100 ml,Btl,1684,100
 PT.Advansia Indotani,Afonil 50 SC 100 X 50 ml,Btl,2165,100
 PT.Advansia Indotani,Afonil 50 SC 20 X 500 ml,Btl,133,20
 PT.Advansia Indotani,Afonil 50 SC 40 X 250 ml,Btl,628,40
 PT.Agro Guna Makmur,Agapro 214/66 SL 40 X 200 ml*,Btl,480,40
