kd_suplier,kd_barang,gudang,qty
JAVAK01,QMULS30,Global,0
JAVAK01,QMULS26,Global,0
JAVAK01,QMULS99,Global,0
JAVAK01,QMULS87,Global,0
JAVAK01,QMULS100,Global,0
JAVAK01,QMULS74,Global,0
JAVAK01,QMULS84,Global,71
JAVAK01,AMULS35,Global,0
JAVAK01,QMULS68,Global,0
JAVAK01,AMULS59,Global,1
JAVAK01,QMULS75,Global,70
JAVAK01,QMULS88,Global,27
JAVAK01,QMULS89,Global,121
JAVAK01,QMULS69,Global,45
JAVAK01,QMULS70,Global,0
JAVAK01,QMULS80,Global,0
JAVAK01,QMULS72,Global,0
JAVAK01,QMULS85,Global,38
JAVAK01,AMULS101,Global,0
JAVAK01,AMULS60,Global,0
JAVAK01,AMULS34,Global,0
JAVAK01,QMULS67,Global,0
JAVAK01,QMULS73,Global,0
JAVAK01,QMULS81,Global,32
JAVAK01,QMULS86,Global,0
JAVAK01,AMULS46,Global,0
JAVAK01,AMULS32,Global,0
JAVAK01,QMULS66,Global,0
JAVAK01,AMULS58,Global,0
JAVAK01,QMULS82,Global,28
JAVAK01,QMULS78,Global,0
JAVAK01,QMULS91,Global,0
JAVAK01,QMULS79,Global,0
NONAM01,AMULS102,Global,1
JAVAK01,QMULS83,Global,29
JAVAK01,QMULS92,Global,0
JAVAK01,AMULS93,Global,0
MURNI01,QMULS18,Global,0
MURNI01,QMULS19,Global,0
KARUN03,AMULS52,Global,2
JAVAK01,QMUL107,Global,0
JAVAK01,QMUL109,Global,0
JAVAK01,QMUL126,Global,100
JAVAK01,QMUL101,Global,170
JAVAK01,AMULS100,Global,2
JAVAK01,QMULS58,Global,22
JAVAK01,AMULS56,Global,5
JAVAK01,QMULS59,Global,0
JAVAK01,AMULS33,Global,0
MURNI01,AMULS37,Global,1
MURNI01,AMULS40,Global,1
MURNI01,AMULS43,Global,1
MURNI01,AMULS38,Global,1
MURNI01,AMULS41,Global,1
MURNI01,AMULS44,Global,1
MURNI01,AMULS39,Global,1
MURNI01,AMULS42,Global,1
MURNI01,AMULS45,Global,1
KARUN03,QMUL104,Global,67
KARUN03,QMUL105,Global,57
KARUN03,AMULS48,Global,1
KARUN03,QMUL102,Global,1
KARUN03,AMULS49,Global,1
KARUN03,QMUL103,Global,117
KARUN03,QMUL106,Global,38
KARUN03,QMUL07,Global,33
KARUN03,QMUL123,Global,0
KARUN03,QMUL124,Global,0
KARUN03,QMUL110,Global,107
KARUN03,QMUL111,Global,135
KARUN03,AMULS50,Global,0
KARUN03,QMUL108,Global,0
KARUN03,AMULS51,Global,1
KARUN03,QMUL09,Global,155
KARUN03,QMUL112,Global,31
KARUN03,QMUL113,Global,22
JAVAK01,QMUL131,Global,0
JAVAK01,QMUL132,Global,0
JAVAK01,QMULS37,Global,48
JAVAK01,QMULS43,Global,0
JAVAK01,ZZMULS01,Global,0
NONAM01,AMULS99,Global,1
JAVAK01,AMULS27,Global,0
JAVAK01,QMULS38,Global,61
JAVAK01,QMULS44,Global,0
JAVAK01,AMULS54,Global,0
JAVAK01,AMULS47,Global,0
JAVAK01,QMULS39,Global,8
JAVAK01,AMULS55,Global,0
JAVAK01,QMULS54,Global,48
JAVAK01,QMULS93,Global,45
JAVAK01,QMUL115,Global,6
JAVAK01,QMUL117,Global,1
JAVAK01,QMUL118,Global,0
JAVAK01,QMUL116,Global,17
JAVAK01,QMUL119,Global,0
JAVAK01,QMUL120,Global,0
JAVAK01,QMULS94,Global,0
JAVAK01,AMULS67,Global,0
MURNI01,QMULS14,Global,0
MURNI01,QMULS15,Global,0
MURNI01,AMULS17,Global,0
MURNI01,QMULS12,Global,0
MURNI01,AMULS11,Global,0
MURNI01,QMULS13,Global,0
MURNI01,AMULS14,Global,0
MURNI01,QMULS16,Global,0
MURNI01,QMULS17,Global,0
KARUN03,AMULS53,Global,2
NONAM01,AMULT01,Global,0
TANIN01,QMULT02,Global,0
TANIN01,AMULT04,Global,0
TANIN01,QMULT01,Global,0
NONAM01,AMULT02,Global,0
TANIN01,QMULT03,Global,0
NONAM01,AMULT03,Global,0
CENTA01,QMUPX01,Global,0
CENTA01,QMUPX03,Global,0
CENTA01,QMUPX02,Global,0
STARM01,QMURY01,Global,40
AGRON01,QMUTU01,Global,459
AGRON01,AMUTU01,Global,0
AGRON01,QMUTU02,Global,0
AGRON01,QMUTU03,Global,0
MULTI04,ANPK105,Global,0
MULTI04,ANPK108,Global,0
MULTI04,QNPKM12,Global,219
MULTI04,ANPKM06,Global,0
SAPRO03,QNPKM14,Global,60
SAPRO01,QNPK111,Global,0
SAPRO01,QNPK103,Global,0
SAPRO01,QNPK101,Global,0
SAPRO01,QNPK104,Global,0
SAPRO01,QNPK102,Global,0
SANLE01,QNPK118,Global,0
SANLE01,ANPK103,Global,0
